word,common,prefix,distinct
certified,1167,-1,823
certify,4392,-1,-1
cesarean,5952,-1,3031
cesspool,5698,1300,2910
chafe,6365,-1,3213
chaffing,7062,-1,-1
chain,578,-1,-1
chair,539,-1,436
chalice,4691,-1,-1
challenge,360,-1,-1
chamber,802,-1,-1
chamomile,5875,-1,3001
champion,620,-1,496
chance,134,-1,-1
change,57,55,49
channel,385,-1,-1
chant,2644,-1,1595
chaos,1107,-1,786
chaperone,5483,-1,-1
chaplain,3176,-1,-1
chapped,6243,-1,-1
chaps,4243,-1,-1
chapter,579,-1,-1
character,197,-1,164
charbroil,7621,-1,3663
charcoal,2698,-1,1624
charger,2528,-1,-1
charging,1287,-1,889
chariot,3635,-1,-1
charity,834,-1,621
charm,1381,-1,-1
charred,4433,-1,-1
charter,1168,-1,-1
charting,4016,-1,-1
chase,851,-1,-1
chasing,1382,-1,-1
chaste,5314,-1,-1
chastise,6096,-1,3102
chastity,4157,-1,-1
chatroom,5983,-1,-1
chatter,3353,-1,-1
chatting,2166,-1,-1
chatty,4963,-1,-1
cheating,1217,-1,-1
cheddar,3636,-1,2044
cheek,1701,-1,-1
cheer,1496,-1,1007
cheese,677,429,536
cheesy,2699,-1,-1
chef,1169,-1,-1
chemicals,1288,-1,890
chemist,2911,-1,-1
chemo,3759,-1,2102
cherisher,7622,-1,3664
cherub,5953,-1,3032
chess,1751,-1,-1
chest,743,-1,572
chevron,3693,-1,2073
chevy,2848,-1,1694
chewable,6833,-1,3390
chewer,7251,-1,-1
chewing,2553,-1,1542
chewy,4893,-1,-1
chief,198,168,165
chihuahua,3903,-1,2165
childcare,3276,-1,1881
childhood,758,-1,579
childish,2275,-1,1404
childless,4473,-1,2404
childlike,4894,-1,-1
chili,2276,-1,-1
chill,1265,-1,879
chimp,4861,-1,2582
chip,1045,-1,-1
chirping,5115,-1,-1
chirpy,6644,-1,3320
chitchat,6542,-1,3279
chivalry,4393,-1,-1
chive,6677,-1,-1
chloride,3308,-1,-1
chlorine,3177,1018,-1
choice,218,183,182
chokehold,6543,-1,3280
choking,2700,-1,-1
chomp,6097,-1,-1
chooser,7049,-1,-1
choosing,1123,-1,797
choosy,6123,-1,-1
chop,2167,-1,-1
chosen,635,-1,505
chowder,5376,-1,-1
chowtime,7623,-1,3665
chrome,1847,766,-1
chubby,3178,-1,1841
chuck,1289,634,891
chug,4964,-1,-1
chummy,6366,-1,-1
chump,4993,-1,-1
